MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;407;ACC_Over_380kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;CH;2022;;;20;6373;08/06/2023;
Inventory of Transmission;5;411;Of_PU_>330kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;CH;2022;;;93;8053.6;08/06/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;CH;2022;;;23;14416;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;CH;2022;;;11;2390;08/06/2023;
Inventory of Transmission;5;418;Nw_330kV_220kV;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;CH;2022;;;147;24001.8;08/06/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;CH;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;CH;2022;;;;Note that the provided values are valid as per 01.05.2023. ;08/06/2023;
Inventory of Transmission;5;425;Comments_2;CH;2022;;;;Note that the provided values are valid as per 01.05.2023. ;08/06/2023;
Inventory of Transmission;5;426;Comments_3;CH;2022;;;;;08/06/2023;
Inventory of Transmission;5;427;Comments_4;CH;2022;;;;150kV is counted with 110kV_lower. Note that the provided values are valid as per 01.05.2023. ;08/06/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;CZ;2022;84;45;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;CZ;2022;1824;1262;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;CZ;2022;3940;3212;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;CZ;2022;;;29;22850;08/06/2023;
Inventory of Transmission;5;411;Of_PU_>330kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;CZ;2022;;;14;4000;08/06/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;CZ;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;CZ;2022;;;;;08/06/2023;Not Expected
